stockid,stockname,date,BV
601328.SH,交通银行,20110630,24841000
601328.SH,交通银行,20110331,23715600
601328.SH,交通银行,20101231,22365700
601328.SH,交通银行,20100930,21595300
601328.SH,交通银行,20100630,19715000
601328.SH,交通银行,20100331,17542900
601328.SH,交通银行,20091231,16442500
601328.SH,交通银行,20090930,15741700
601328.SH,交通银行,20090630,15594600
601328.SH,交通银行,20090331,15271600
601328.SH,交通银行,20081231,14564200
601328.SH,交通银行,20080930,13787900
601328.SH,交通银行,20080630,13539800
601328.SH,交通银行,20080331,13572300
601328.SH,交通银行,20071231,12879700
601328.SH,交通银行,20070930,12261600
601328.SH,交通银行,20070630,12117700
601328.SH,交通银行,20070331,9463300
601328.SH,交通银行,20061231,8858200
601328.SH,交通银行,20051231,8189600
601328.SH,交通银行,20041231,5165900
601328.SH,交通银行,20031231,1799926.1
601328.SH,交通银行,20021231,864576.1
601328.SH,交通银行,20011231,3242342
601398.SH,工商银行,20140930,143237500
601398.SH,工商银行,20140630,135950300
601398.SH,工商银行,20140331,136292000
601398.SH,工商银行,20131231,127846300
601398.SH,工商银行,20130930,123538900
601398.SH,工商银行,20130630,117509300
601398.SH,工商银行,20130331,119781500
601398.SH,工商银行,20121231,112845900
601398.SH,工商银行,20120930,107527400
601398.SH,工商银行,20120630,101744800
601398.SH,工商银行,20120331,102294300
601398.SH,工商银行,20111231,95782300
601398.SH,工商银行,20110930,90186600
601398.SH,工商银行,20110630,85961500
601398.SH,工商银行,20110331,87222500
601398.SH,工商银行,20101231,82165700
601398.SH,工商银行,20100930,75950500
601398.SH,工商银行,20100630,70960000
601398.SH,工商银行,20100331,72420100
601398.SH,工商银行,20091231,67893400
601398.SH,工商银行,20090930,65090700
601398.SH,工商银行,20090630,62092000
601398.SH,工商银行,20090331,64058500
601398.SH,工商银行,20081231,60713800
601398.SH,工商银行,20080930,58581900
601398.SH,工商银行,20080630,55434200
601398.SH,工商银行,20080331,57093100
601398.SH,工商银行,20071231,54425200
601398.SH,工商银行,20070930,52603700
601398.SH,工商银行,20070630,50331700
601398.SH,工商银行,20070331,48995300
601398.SH,工商银行,20061231,47143300
601398.SH,工商银行,20060630,33031700
601398.SH,工商银行,20051231,26098400
601398.SH,工商银行,20041231,-50449500
601398.SH,工商银行,20031231,-53548400
601818.SH,光大银行,20140930,17313600
601818.SH,光大银行,20140630,16523100
601818.SH,光大银行,20140331,16384600
601818.SH,光大银行,20131231,15305200
601818.SH,光大银行,20130930,13234600
601818.SH,光大银行,20130630,12706600
601818.SH,光大银行,20130331,12261200
601818.SH,光大银行,20121231,11432200
601818.SH,光大银行,20120930,11000604
601818.SH,光大银行,20120630,10469847.9
601818.SH,光大银行,20120331,10326119.2
601818.SH,光大银行,20111231,9614963.3
601818.SH,光大银行,20110930,9093732.4
601818.SH,光大银行,20110630,8674308.5
601818.SH,光大银行,20110331,8636347.7
601818.SH,光大银行,20101231,8146270.2
601818.SH,光大银行,20100930,7995353.6
601818.SH,光大银行,20100630,5536658.6
601818.SH,光大银行,20091231,4812146
601818.SH,光大银行,20081231,3323208.4
601818.SH,光大银行,20071231,2468909.3
601818.SH,光大银行,20061231,-18241.8
601818.SH,光大银行,20051231,-278262.6
601939.SH,建设银行,20140930,120817900
601939.SH,建设银行,20140630,114701200
601939.SH,建设银行,20140331,114771900
601939.SH,建设银行,20131231,107432900
601939.SH,建设银行,20130930,104961200
601939.SH,建设银行,20130630,100051100
601939.SH,建设银行,20130331,101082500
601939.SH,建设银行,20121231,94960900
601939.SH,建设银行,20120930,91768400
601939.SH,建设银行,20120630,86940500
601939.SH,建设银行,20120331,86916100
601939.SH,建设银行,20111231,81666100
601939.SH,建设银行,20110930,77902400
601939.SH,建设银行,20110630,73867600
601939.SH,建设银行,20110331,74907700
601939.SH,建设银行,20101231,70090500
601939.SH,建设银行,20100930,62449400
601939.SH,建设银行,20100630,58019800
601939.SH,建设银行,20100331,59569900
601939.SH,建设银行,20091231,55902000
601939.SH,建设银行,20090930,53702500
601939.SH,建设银行,20090630,50653400
601939.SH,建设银行,20090331,49418500
601939.SH,建设银行,20081231,46756200
601939.SH,建设银行,20080930,47953400
601939.SH,建设银行,20080630,45539800
601939.SH,建设银行,20080331,44836900
601939.SH,建设银行,20071231,42228100
601939.SH,建设银行,20070930,38992200
601939.SH,建设银行,20070630,32573800
601939.SH,建设银行,20061231,33020400
601939.SH,建设银行,20051231,28767700
601939.SH,建设银行,20041231,19555100
601939.SH,建设银行,20031231,18628000
601939.SH,建设银行,20021231,10723600
601939.SH,建设银行,20011231,10756700
601939.SH,建设银行,20001231,11485000
601988.SH,中国银行,20140930,104625700
601988.SH,中国银行,20140630,100645600
601988.SH,中国银行,20140331,101236900
601988.SH,中国银行,20131231,96147700
601988.SH,中国银行,20130930,92566100
601988.SH,中国银行,20130630,88633300
601988.SH,中国银行,20130331,90247000
601988.SH,中国银行,20121231,86154200
601988.SH,中国银行,20120930,82772900
601988.SH,中国银行,20120630,79161700
601988.SH,中国银行,20120331,79610200
601988.SH,中国银行,20111231,75589400
601988.SH,中国银行,20110930,72578700
601988.SH,中国银行,20110630,70312500
601988.SH,中国银行,20110331,71153900
601988.SH,中国银行,20101231,67615000
601988.SH,中国银行,20100930,59794500
601988.SH,中国银行,20100630,56731600
601988.SH,中国银行,20100331,57349000
601988.SH,中国银行,20091231,54539400
601988.SH,中国银行,20090930,52433400
601988.SH,中国银行,20090630,50298100
601988.SH,中国银行,20090331,51153100
601988.SH,中国银行,20081231,49390100
601988.SH,中国银行,20080930,48009500
601988.SH,中国银行,20080630,46386200
601988.SH,中国银行,20080331,47373800
601988.SH,中国银行,20071231,45499300
601988.SH,中国银行,20070930,45039300
601988.SH,中国银行,20070630,43016200
601988.SH,中国银行,20070331,42934400
601988.SH,中国银行,20061231,41781400
601988.SH,中国银行,20060930,40677300
601988.SH,中国银行,20060630,38645300
601988.SH,中国银行,20051231,26262000
601988.SH,中国银行,20041231,23273800
601988.SH,中国银行,20031231,22947600
601998.SH,中信银行,20140930,25768500
601998.SH,中信银行,20140630,24669800
601998.SH,中信银行,20140331,24335400
601998.SH,中信银行,20131231,23072500
601998.SH,中信银行,20130930,22481000
601998.SH,中信银行,20130630,21597700
601998.SH,中信银行,20130331,21279600
601998.SH,中信银行,20121231,20308600
601998.SH,中信银行,20120930,19966900
601998.SH,中信银行,20120630,19248000
601998.SH,中信银行,20120331,18779600
601998.SH,中信银行,20111231,17878100
601998.SH,中信银行,20110930,17336200
601998.SH,中信银行,20110630,13965700
601998.SH,中信银行,20110331,13132600
601998.SH,中信银行,20101231,12453800
601998.SH,中信银行,20100930,12104000
601998.SH,中信银行,20100630,11422200
601998.SH,中信银行,20100331,11186900
601998.SH,中信银行,20091231,10700800
601998.SH,中信银行,20090930,10342800
601998.SH,中信银行,20090630,9906300
