stockid,date,asset,equity,loan,deposit
601166,20101231,184967344,9199529,85433904,113276704
601166,20110331,191699040,9749105,85257078.7,112179168.3
601166,20110630,208990592,10157400,92947400,122297904
601166,20110930,209210896,10728400,85398378.57,116841272.7
601166,20111231,240879808,11607800,98325400,134527904
601166,20120331,262939808,12486000,100052897.9,141826599.9
601166,20120630,278045088,13065700,105800704,149974208
601166,20120930,296468608,13887900,112092163.2,165358520.6
601166,20121231,325097504,17063500,122916496,181326592
601166,20130331,346961088,18246200,129877406.4,201957563.6
601166,20130630,357727808,18556000,133907696,208224608
601166,20130930,363364992,19581000,134089931.6,214450399.5
601166,20131231,367743488,20117100,135705696,217034496
601166,20140331,379314496,21743400,137477638.4,215829575.5
601166,20140630,394820000,22325600,143097408,224652192
601166,20140930,399557696,23691600,149212096,220522800
601169,20041231,20293998,347504,10902628,17352678
601169,20051231,23304382,784168.3125,11178256,19854692
601169,20061231,27296888,984029.1875,12957732,23309026
601169,20070331,26398118,1032092.875,11715779.16,19352900.6
601169,20070930,30675266,2613667.25,13614025.15,22488549.13
601169,20071231,35422296,2666794.5,15720810,25968676
601169,20080331,36344744,2844839.5,17615339.2,28132763.25
601169,20080630,36335296,2872256,17610760,28125450
601169,20080930,40295856,3127127.25,18656302.71,30518961.86
601169,20081231,41702100,3381363.25,19307370,31584012
601169,20090331,44176180,3516947,23083560.59,35609926.81
601169,20090630,47810024,3538558.5,24982368,38539128
601169,20090930,50167976,3644489,25718414.76,42030553.84
601169,20091231,53346932,3757777,27348094,44693872
601169,20100331,56523388,3990890,27145214.44,44180343.36
601169,20100630,64611288,4060829,31029408,50502084
601169,20100930,68975896,4267140,31489490.5,52467246.09
601169,20101231,73321048,4256688.5,33473178,55772432
601169,20110331,73424144,4512346,33796715.9,52978637.88
601169,20110630,81580152,4604971,37550880,58863544
601169,20110930,86252128,4822784,36575780.43,55389112.32
601169,20111231,95649864,5043352.5,40560952,61424120
601169,20120331,100126616,6556137,41262809.52,62612681.93
601169,20120630,110101592,6756990,45373560,68850384
601169,20120930,111815320,7011619,49591492.77,71261526.98
601169,20121231,111996896,7169071.5,49672024,71377248
601169,20130331,115095560,7616340,52382383.02,75987491.47
601169,20130630,120245184,7614418,54726084,79387336
601169,20130930,120753424,7802139.5,52832121.6,75380777.76
601169,20131231,133676384,7830611,58486184,83447984
601169,20140331,138959056,8366321.5,60693950.4,87603548.88
601169,20140630,147560608,8773000,64450900,93026200
601169,20140930,149065296,9208200,66870000,90658496
601288,20021231,297656608,13604000,176515152.8,251853183.3
601288,20031231,349401600,13796900,207200764.7,295635651.4
601288,20041231,401376896,7806300,238022950.6,339612984.4
601288,20051231,477101888,7960700,282929088,403685408
601288,20061231,534394304,8400200,314984896,475531200
601288,20071231,530550592,-72760496,347417408,528719392
601288,20081231,701435072,29054100,310015904,609742784
601288,20091231,888258816,34292500,413818688,749761792
601288,20100630,969596672,35441700,462398304,834881984
601288,20100930,1011712192,52827800,485111582.6,869850914.6
601288,20101231,1033740608,54223600,495674112,888790528
601288,20110331,1095992832,57657000,514817749.8,928158247.2
601288,20110630,1146178432,58950900,538391296,970658688
601288,20110930,1158907264,62053500,558604534,954910093.3
601288,20111231,1167757696,64978800,562870528,962202624
601288,20120331,1255933184,69398400,591889017.2,1032340640
601288,20120630,1290141184,69182600,608010368,1060458624
601288,20120930,1306187264,72704496,634476521.6,1071327489
