stockid,stockname,date,asset,equity
601169.SH,北京银行,20131231,133676384.5,7830610.8
601169.SH,北京银行,20130930,120753426.9,7802139.3
601169.SH,北京银行,20130630,120245182.2,7614417.9
601169.SH,北京银行,20130331,115095558.4,7616340.1
601169.SH,北京银行,20121231,111996892.6,7169071.4
601169.SH,北京银行,20120930,111815323.5,7011619.1
601169.SH,北京银行,20120630,110101588.7,6756990.1
601169.SH,北京银行,20120331,100126618.8,6556137.2
601169.SH,北京银行,20111231,95649867.6,5043352.3
601169.SH,北京银行,20110930,86252128.4,4822783.8
601169.SH,北京银行,20110630,81580151.4,4604971.1
601169.SH,北京银行,20110331,73424145.3,4512346.1
601169.SH,北京银行,20101231,73321050.4,4256688.4
601169.SH,北京银行,20100930,68975896.8,4267139.8
601169.SH,北京银行,20100630,64611286.4,4060829
601169.SH,北京银行,20100331,56523387.2,3990890.1
601169.SH,北京银行,20091231,53346931.8,3757777.1
601169.SH,北京银行,20090930,50167977.6,3644488.9
601169.SH,北京银行,20090630,47810022.3,3538558.6
601169.SH,北京银行,20090331,44176179.6,3516947
601169.SH,北京银行,20081231,41702101.9,3381363.3
601169.SH,北京银行,20080930,40295856.3,3127127.2
601169.SH,北京银行,20080630,36335295.3,2872255.9
601169.SH,北京银行,20080331,36344745.7,2844839.4
601169.SH,北京银行,20071231,35422294.1,2666794.5
601169.SH,北京银行,20070930,30675265.7,2613667.2
601169.SH,北京银行,20070331,26398117.9,1032092.9
601169.SH,北京银行,20061231,27296889,984029.2
601169.SH,北京银行,20051231,23304381.8,784168.3
601169.SH,北京银行,20041231,20293997.7,347504
601288.SH,农业银行,20140930,1595924900,95869300
601288.SH,农业银行,20140630,1600661200,90773700
601288.SH,农业银行,20140331,1532211600,90514900
601288.SH,农业银行,20131231,1456210200,84453700
601288.SH,农业银行,20130930,1459941900,82877200
601288.SH,农业银行,20130630,1422260100,79123100
601288.SH,农业银行,20130331,1426773800,80031900
601288.SH,农业银行,20121231,1324434200,75135400
601288.SH,农业银行,20120930,1306187300,72704500
601288.SH,农业银行,20120630,1290141200,69182600
601288.SH,农业银行,20120331,1255933200,69398400
601288.SH,农业银行,20111231,1167757700,64978800
601288.SH,农业银行,20110930,1158907300,62053500
601288.SH,农业银行,20110630,1146178400,58950900
