stockid,stockname,date,revenue,interestincome,interestexpense,noninterestexpense,adminexpense
600015.SH,华夏银行,20040930,"778,794.02 ","766,624.57 ",0.00 ,"3,959.26 ",0.00 
600015.SH,华夏银行,20040630,"500,454.88 ","491,939.49 ",0.00 ,"2,180.89 ",0.00 
600015.SH,华夏银行,20040331,"233,316.16 ","229,750.88 ",0.00 ,"1,188.69 ",0.00 
600015.SH,华夏银行,20031231,"539,139.67 ","812,346.30 ","305,105.73 ","3,636.29 ","225,280.16 "
600015.SH,华夏银行,20030930,"601,419.05 ","589,006.41 ",0.00 ,"2,356.71 ",0.00 
600015.SH,华夏银行,20030630,"383,572.84 ","375,277.34 ",0.00 ,"1,450.98 ",0.00 
600015.SH,华夏银行,20030331,"174,575.82 ","146,737.14 ",0.00 ,663.49 ,0.00 
600015.SH,华夏银行,20021231,"390,302.96 ","550,543.75 ","230,257.18 ","1,900.81 ","185,897.72 "
600015.SH,华夏银行,20020930,"440,456.09 ","374,529.21 ",0.00 ,"1,187.96 ",0.00 
600015.SH,华夏银行,20011231,"330,378.02 ","481,490.82 ","200,614.21 ","1,999.37 ","151,254.81 "
600015.SH,华夏银行,20001231,"240,184.11 ","369,960.38 ","130,155.50 ","2,037.30 ","111,030.28 "
600016.SH,民生银行,20140930,"9,991,600.00 ","14,564,400.00 ","7,779,700.00 ","285,100.00 ","3,048,600.00 "
600016.SH,民生银行,20140630,"6,512,900.00 ","9,442,400.00 ","5,057,800.00 ","184,100.00 ","1,896,600.00 "
600016.SH,民生银行,20140331,"3,123,100.00 ","4,692,900.00 ","2,562,400.00 ","69,400.00 ","836,400.00 "
600016.SH,民生银行,20131231,"11,588,600.00 ","18,228,600.00 ","9,912,100.00 ","310,500.00 ","3,795,800.00 "
600016.SH,民生银行,20130930,"8,597,500.00 ","13,485,700.00 ","7,433,300.00 ","205,300.00 ","2,635,400.00 "
600016.SH,民生银行,20130630,"5,828,900.00 ","8,887,700.00 ","4,845,400.00 ","119,500.00 ","1,671,400.00 "
600016.SH,民生银行,20130331,"2,887,700.00 ","4,394,500.00 ","2,379,200.00 ","49,300.00 ","777,500.00 "
600016.SH,民生银行,20121231,"10,311,100.00 ","15,218,000.00 ","7,473,400.00 ","156,800.00 ","3,506,400.00 "
600016.SH,民生银行,20120930,"7,766,300.00 ","11,058,200.00 ","5,218,000.00 ","109,700.00 ","2,471,200.00 "
600016.SH,民生银行,20120630,"5,145,600.00 ","7,333,600.00 ","3,471,000.00 ","67,800.00 ","1,556,900.00 "
600016.SH,民生银行,20120331,"2,503,500.00 ","3,661,600.00 ","1,688,900.00 ","30,200.00 ","647,600.00 "
600016.SH,民生银行,20111231,"8,236,800.00 ","11,853,900.00 ","5,246,000.00 ","89,000.00 ","2,933,300.00 "
