stockid,stockname,date,lag_close,open,high,low,close,volume,amount
881001.WI,万得全A,20140314,2301.9955,2291.1132,2304.8959,2272.9853,2289.6174,16601620324,1.59E+11
881001.WI,万得全A,20140317,2289.6174,2295.1394,2326.9514,2288.5176,2326.929,17002212559,1.73E+11
881001.WI,万得全A,20140318,2326.929,2329.5439,2345.5246,2326.4239,2331.3211,18882020870,2.00E+11
881001.WI,万得全A,20140319,2331.3211,2324.8206,2324.8206,2297.8203,2320.6829,19135667298,1.91E+11
881001.WI,万得全A,20140320,2320.6829,2315.5073,2332.2021,2269.138,2269.138,21363140743,2.07E+11
881001.WI,万得全A,20140321,2269.138,2258.3074,2331.182,2248.2028,2328.3506,25120128388,2.25E+11
881001.WI,万得全A,20140324,2328.3506,2329.6505,2351.7867,2319.9437,2342.9512,25746983564,2.24E+11
881001.WI,万得全A,20140325,2342.9512,2336.7726,2355.288,2328.9455,2341.9343,23772387048,2.05E+11
881001.WI,万得全A,20140326,2341.9343,2346.674,2352.9252,2337.484,2345.2317,18967140366,1.76E+11
881001.WI,万得全A,20140327,2345.2317,2341.9639,2348.0262,2313.72,2313.72,21627630039,2.00E+11
881001.WI,万得全A,20140328,2313.72,2309.4278,2320.286,2275.7629,2282.7451,22323298913,2.02E+11
881001.WI,万得全A,20140331,2282.7451,2283.1618,2290.1069,2257.7756,2270.9917,16435421058,1.48E+11
881001.WI,万得全A,20140401,2270.9917,2267.8613,2299.8863,2266.5786,2299.7064,14840922187,1.38E+11
881001.WI,万得全A,20140402,2299.7064,2301.5587,2311.0722,2295.5884,2305.1525,18279562634,1.64E+11
881001.WI,万得全A,20140403,2305.1525,2309.3443,2317.2898,2288.8511,2296.1375,18786232419,1.65E+11
881001.WI,万得全A,20140404,2296.1375,2289.9414,2321.408,2286.3381,2321.408,15317847749,1.44E+11
881001.WI,万得全A,20140408,2321.408,2313.2119,2362.2033,2310.323,2360.401,21865068628,2.02E+11
881001.WI,万得全A,20140409,2360.401,2362.9758,2375.6821,2360.4096,2373.7907,19036920023,1.88E+11
881001.WI,万得全A,20140410,2373.7907,2376.5905,2411.627,2369.4252,2398.6632,26194725354,2.50E+11
881001.WI,万得全A,20140411,2398.6632,2390.5527,2399.367,2378.9091,2391.0478,21909751981,2.11E+11
881001.WI,万得全A,20140414,2391.0478,2389.2796,2399.98,2382.7542,2399.2251,18274181257,1.78E+11
881001.WI,万得全A,20140415,2399.2251,2394.9928,2394.9928,2366.4269,2370.4096,19631178085,1.88E+11
881001.WI,万得全A,20140416,2370.4096,2364.073,2379.4856,2357.9521,2372.6283,16375391003,1.58E+11
881001.WI,万得全A,20140417,2372.6283,2377.1212,2381.2747,2366.3058,2368.2852,16228628449,1.57E+11
881001.WI,万得全A,20140418,2368.2852,2360.7418,2373.7305,2351.6196,2373.2912,15383734529,1.48E+11
881001.WI,万得全A,20140421,2373.2912,2357.8465,2378.9924,2334.0772,2334.1639,17599029059,1.74E+11
881001.WI,万得全A,20140422,2334.1639,2329.6237,2341.9734,2295.0028,2329.4756,17881203344,1.74E+11
881001.WI,万得全A,20140423,2329.4756,2324.7486,2337.8855,2314.5885,2323.5898,14191090786,1.39E+11
881001.WI,万得全A,20140424,2323.5898,2321.0325,2331.3501,2306.1353,2308.759,14529371378,1.41E+11
881001.WI,万得全A,20140425,2308.759,2309.7263,2313.9187,2270.0378,2270.2834,17022785570,1.55E+11
881001.WI,万得全A,20140428,2270.2834,2263.5939,2263.5939,2210.7312,2212.9089,16957782381,1.50E+11
881001.WI,万得全A,20140429,2212.9089,2209.8521,2241.2962,2209.8521,2241.296,13530765061,1.21E+11
881001.WI,万得全A,20140430,2241.296,2241.1776,2256.4772,2237.7286,2253.5585,12883573391,1.18E+11
881001.WI,万得全A,20140505,2253.5585,2248.7441,2266.4746,2235.7172,2265.6108,13722597127,1.24E+11
881001.WI,万得全A,20140506,2265.6108,2261.9626,2287.2284,2260.3412,2274.6708,14292151556,1.37E+11
881001.WI,万得全A,20140507,2274.6708,2267.9583,2267.9583,2242.8379,2243.2121,13957615413,1.31E+11
881001.WI,万得全A,20140508,2243.2121,2237.9597,2275.0779,2234.3494,2243.8727,14252920332,1.29E+11
881001.WI,万得全A,20140509,2243.8727,2244.4004,2246.385,2215.1654,2231.0451,13973721558,1.26E+11
881001.WI,万得全A,20140512,2231.0451,2246.5823,2284.3642,2238.2517,2283.5139,20092393246,1.73E+11
881001.WI,万得全A,20140513,2283.5139,2282.7059,2289.8819,2271.3139,2279.7317,17300195083,1.52E+11
881001.WI,万得全A,20140514,2279.7317,2279.0898,2287.9989,2273.3164,2278.9444,13676777549,1.24E+11
881001.WI,万得全A,20140515,2278.9444,2275.4786,2277.3563,2239.4919,2241.0113,14249659625,1.35E+11
881001.WI,万得全A,20140516,2241.0113,2238.1226,2243.2503,2217.4099,2238.5607,12513740267,1.18E+11
881001.WI,万得全A,20140519,2238.5607,2233.7793,2233.7793,2203.5545,2217.3397,11874353833,1.11E+11
881001.WI,万得全A,20140520,2217.3397,2227.9871,2241.8913,2217.9899,2223.2404,11861798972,1.18E+11
881001.WI,万得全A,20140521,2223.2404,2216.3144,2244.5312,2201.7859,2244.5307,11727236540,1.11E+11
881001.WI,万得全A,20140522,2244.5307,2244.6828,2271.0101,2241.9963,2243.1566,14598509919,1.41E+11
881001.WI,万得全A,20140523,2243.1566,2242.5684,2266.2251,2240.0638,2266.2251,12705928647,1.26E+11
881001.WI,万得全A,20140526,2266.2251,2276.6774,2285.8711,2274.6541,2285.8699,14392952796,1.52E+11
881001.WI,万得全A,20140527,2285.8699,2284.6932,2289.3571,2275.169,2277.061,13501325872,1.37E+11
881001.WI,万得全A,20140528,2277.061,2277.1588,2305.6774,2273.1445,2304.6773,16616449963,1.69E+11
881001.WI,万得全A,20140529,2304.6773,2305.4511,2311.7312,2282.9865,2282.9865,16317440543,1.68E+11
881001.WI,万得全A,20140530,2282.9865,2282.4467,2295.6003,2270.603,2287.1972,14814219724,1.48E+11
881001.WI,万得全A,20140603,2287.1972,2288.7063,2299.0923,2281.923,2282.1169,13958071646,1.39E+11
881001.WI,万得全A,20140604,2282.1169,2280.6512,2280.7203,2245.921,2261.8948,14047110057,1.36E+11
881001.WI,万得全A,20140605,2261.8948,2259.532,2290.1599,2257.1488,2290.1323,13585323014,1.38E+11
881001.WI,万得全A,20140606,2290.1323,2290.6197,2292.0884,2267.1128,2279.5168,13757152724,1.41E+11
881001.WI,万得全A,20140609,2279.5168,2273.5061,2292.5119,2270.1958,2271.7197,13100001755,1.33E+11
881001.WI,万得全A,20140610,2271.7197,2274.7202,2301.7729,2266.1188,2301.7727,15524460309,1.58E+11
881001.WI,万得全A,20140611,2301.7727,2297.8527,2310.5361,2295.0172,2308.9071,15397441621,1.60E+11
881001.WI,万得全A,20140612,2308.9071,2304.957,2312.0847,2297.5788,2304.7196,16170873756,1.64E+11
881001.WI,万得全A,20140613,2304.7196,2302.2589,2334.9097,2301.7171,2331.2287,19004315890,1.93E+11
881001.WI,万得全A,20140616,2331.2287,2332.8751,2350.6128,2332.8027,2348.4206,18988394457,1.94E+11
881001.WI,万得全A,20140617,2348.4206,2344.87,2344.87,2325.2592,2326.356,17706959756,1.76E+11
881001.WI,万得全A,20140618,2326.356,2326.1869,2329.2658,2312.404,2313.2798,17376477321,1.67E+11
881001.WI,万得全A,20140619,2313.2798,2312.8192,2317.9537,2251.067,2261.1809,18345091089,1.74E+11
881001.WI,万得全A,20140620,2261.1809,2260.3414,2280.1732,2257.6352,2280.1732,13365388523,1.25E+11
