stockid,stockname,date,asset,asset,equity,eta
600016.SH,民生银行,20010331,8069076,15.90354954,616115,0.076355087
600016.SH,民生银行,20001231,6805821.51,15.73328891,599573.77,0.088097193
600016.SH,民生银行,20000630,4861044.32,15.39676385,173856.35,0.035765226
600016.SH,民生银行,19991231,3659625.15,15.11287128,153273.56,0.041882311
600016.SH,民生银行,19981231,2535214.57,14.74578883,161990.88,0.063896319
600016.SH,民生银行,19971231,1852425.61,14.43200648,155801.24,0.084106611
600036.SH,招商银行,20140930,472264800,19.9730504,30239800,0.06403145
600036.SH,招商银行,20140630,503312200,20.03672121,28636400,0.056895899
600036.SH,招商银行,20140331,440454900,19.90331861,28384200,0.06444292
600036.SH,招商银行,20131231,401639900,19.81106647,26595600,0.066217525
600036.SH,招商银行,20130930,388537200,19.77789948,25727400,0.066216053
600036.SH,招商银行,20130630,381062900,19.75847501,21249800,0.055764547
600036.SH,招商银行,20130331,351342600,19.67727237,21455700,0.061067744
600036.SH,招商银行,20121231,340809900,19.6468354,20040100,0.058801402
600036.SH,招商银行,20120930,314461800,19.56637316,19095400,0.060724069
600036.SH,招商银行,20120630,332270100,19.62145875,18136200,0.054582702
600036.SH,招商银行,20120331,296357900,19.5070784,17727300,0.059817201
600036.SH,招商银行,20111231,279497100,19.44850247,16501000,0.05903818
600036.SH,招商银行,20110930,263327800,19.3889102,15384800,0.058424519
600036.SH,招商银行,20110630,264320500,19.39267294,14543200,0.055021082
600036.SH,招商银行,20110331,258472300,19.37029909,14277700,0.055238801
600036.SH,招商银行,20101231,240250700,19.29719352,13400600,0.055777569
600036.SH,招商银行,20100930,235956400,19.2791576,13310800,0.056412117
600036.SH,招商银行,20100630,228248200,19.24594419,12484100,0.054695283
600036.SH,招商银行,20100331,219927500,19.2088085,11821400,0.05375135
600036.SH,招商银行,20091231,206794100,19.14723417,9278300,0.044867334
600036.SH,招商银行,20090930,201690100,19.12224292,8750500,0.043385868
600036.SH,招商银行,20090630,197276800,19.10011838,8418500,0.042673543
600036.SH,招商银行,20090331,180083900,19.00893341,8217100,0.045629287
600036.SH,招商银行,20081231,157179700,18.87290029,7978100,0.050757827
600036.SH,招商银行,20080930,154724900,18.85715926,9001200,0.05817551
600036.SH,招商银行,20080630,139579100,18.75414202,7749600,0.055521206
600036.SH,招商银行,20080331,137378600,18.73825118,7476200,0.054420412
600036.SH,招商银行,20071231,131055200,18.69112917,6798400,0.051874325
600036.SH,招商银行,20070930,121936600,18.6190118,6294600,0.051621908
600036.SH,招商银行,20070630,110877600,18.52393745,5923600,0.053424677
600036.SH,招商银行,20070331,98469300,18.40525538,5731100,0.058201896
600036.SH,招商银行,20061231,93410223.8,18.35251136,5516052.4,0.059051913
600036.SH,招商银行,20060930,87400911.1,18.28601627,5089503.1,0.058231694
600036.SH,招商银行,20060630,82431587.5,18.22747926,3274276.2,0.039721135
600036.SH,招商银行,20060331,76576023.3,18.15379457,3240471.3,0.042317049
600036.SH,招商银行,20051231,73461286.4,18.11226911,2599746.8,0.035389345
600036.SH,招商银行,20050930,70344538,18.0689157,2355620.3,0.033486897
600036.SH,招商银行,20050630,67142318.5,18.02232508,2226239.8,0.033157029
600036.SH,招商银行,20050331,63003518.4,17.95870113,2193577.1,0.03481674
600036.SH,招商银行,20041231,60276548.7,17.91445368,2088095,0.034641914
600036.SH,招商银行,20040930,56634669.9,17.8521319,2026980.1,0.035790446
600036.SH,招商银行,20040630,53886244.5,17.8023858,1942638,0.036050722
600036.SH,招商银行,20040331,51068353.4,17.74867556,1854660.3,0.036317214
600036.SH,招商银行,20031231,50389281,17.73528903,1826143.8,0.03624072
600036.SH,招商银行,20030930,44271865.3,17.60585994,1771918.8,0.040023586
600036.SH,招商银行,20030630,43583429.8,17.59018759,1714015,0.039327217
600036.SH,招商银行,20030331,38914202.8,17.47686985,1658768.6,0.042626303
600036.SH,招商银行,20021231,37165991.2,17.43090469,1603182.1,0.043135728
600036.SH,招商银行,20020930,33432188.9,17.32502973,1652210,0.049419738
