stockid,stockname,date,close,stockvalue
600016.SH,民生银行,20080513,4.5472,1.45502E+11
600016.SH,民生银行,20080514,4.7472,1.51902E+11
600016.SH,民生银行,20080515,4.6942,1.50208E+11
600016.SH,民生银行,20080516,4.7354,1.51525E+11
600016.SH,民生银行,20080519,4.6766,1.49643E+11
600016.SH,民生银行,20080520,4.4707,1.43055E+11
600016.SH,民生银行,20080521,4.4883,1.4362E+11
600016.SH,民生银行,20080522,4.3707,1.39855E+11
600016.SH,民生银行,20080523,4.306,1.37784E+11
600016.SH,民生银行,20080526,4.153,1.3289E+11
600016.SH,民生银行,20080527,4.1883,1.3402E+11
600016.SH,民生银行,20080528,4.3354,1.38726E+11
600016.SH,民生银行,20080529,4.1707,1.33455E+11
600016.SH,民生银行,20080530,4.2413,1.35714E+11
600016.SH,民生银行,20080602,4.253,1.3609E+11
600016.SH,民生银行,20080603,4.1766,1.33643E+11
600016.SH,民生银行,20080604,4.1354,1.32326E+11
600016.SH,民生银行,20080605,4.1177,1.31761E+11
600016.SH,民生银行,20080606,4.1177,1.31761E+11
600016.SH,民生银行,20080610,3.706,1.18585E+11
600016.SH,民生银行,20080611,3.5824,1.14632E+11
600016.SH,民生银行,20080612,3.506,1.12185E+11
600016.SH,民生银行,20080613,3.4942,1.11809E+11
600016.SH,民生银行,20080616,3.5648,1.14067E+11
600016.SH,民生银行,20080617,3.506,1.12185E+11
600016.SH,民生银行,20080618,3.653,1.16891E+11
600016.SH,民生银行,20080619,3.3236,1.0635E+11
600016.SH,民生银行,20080620,3.4648,1.10867E+11
600016.SH,民生银行,20080623,3.4413,1.10115E+11
600016.SH,民生银行,20080624,3.5236,1.1275E+11
600016.SH,民生银行,20080625,3.6236,1.1595E+11
600016.SH,民生银行,20080626,3.5766,1.14444E+11
600016.SH,民生银行,20080627,3.3766,1.08044E+11
600016.SH,民生银行,20080630,3.353,1.07291E+11
600016.SH,民生银行,20080701,3.1824,1.01832E+11
600016.SH,民生银行,20080702,3.2118,1.02774E+11
600016.SH,民生银行,20080703,3.2354,1.03527E+11
600016.SH,民生银行,20080704,3.2648,1.04468E+11
600016.SH,民生银行,20080707,3.4766,1.11244E+11
600016.SH,民生银行,20080708,3.5471,1.13503E+11
600016.SH,民生银行,20080709,3.7236,1.1915E+11
